182.66732800006866, sync, copy, 91, 4, 1
37.76048200018704, sync, write, 32, 4, 1
93.93629799969494, sync, write, 125, 4, 1
24077.816364000086, sync, copy, 25814, 4, 1
263.1139650000259, sync, writeFile, 237, 4, 1
23.229859000071883, sync, copy, 22, 4, 1
4965.249776999932, sync, write, 3937, 4, 1
7.619107999838889, sync, write, 12, 4, 1
8510.727738999762, sync, copy, 9995, 4, 1
12851.850183999632, sync, copy, 14049, 4, 1
412.9446220002137, sync, copy, 487, 4, 1
157.2017540000379, sync, writeFile, 165, 4, 1
30240.049187999684, sync, copy, 33713, 4, 1
1081.8504499997944, sync, writeFile, 559, 4, 1
1847.225334000308, sync, write, 1733, 4, 1
29427.906905999873, sync, write, 36494, 4, 1
772.7926210002042, sync, copy, 907, 4, 1
340.53839700017124, sync, writeFile, 493, 4, 1
17.176022000145167, sync, copy, 20, 4, 1
8354.39163500024, sync, write, 10317, 4, 1
462.81620499957353, sync, writeFile, 425, 4, 1
2172.413087000139, sync, writeFile, 2568, 4, 1
106.36638099979609, sync, copy, 116, 4, 1
3477.8970249998383, sync, writeFile, 3749, 4, 1
61.017992000095546, sync, write, 43, 4, 1
6659.577752000187, sync, write, 8124, 4, 1
93.78171999985352, sync, write, 93, 4, 1
93.18931300006807, sync, copy, 127, 4, 1
9.814828000031412, sync, writeFile, 36, 4, 1
17304.25399799971, sync, writeFile, 21535, 4, 1
41549.4935920001, sync, copy, 53713, 4, 1
8936.137751000002, sync, copy, 11442, 4, 1
13.260673000011593, sync, write, 12, 4, 1
3149.886493000202, sync, writeFile, 4031, 4, 1
20769.3260019999, sync, copy, 25890, 4, 1
32.76983099989593, sync, writeFile, 33, 4, 1
9.011218000203371, sync, writeFile, 18, 4, 1
844.4530909997411, sync, copy, 1068, 4, 1
41050.97378699994, sync, write, 53823, 4, 1
22.60909799998626, sync, write, 33, 4, 1
134.18636999977753, sync, copy, 214, 4, 1
28888.60305899987, sync, write, 39536, 4, 1
128.2403739998117, sync, writeFile, 237, 4, 1
7508.281959000044, sync, copy, 11187, 4, 1
1041.200000999961, sync, write, 1451, 4, 1
159.65878600021824, sync, writeFile, 232, 4, 1
554.6249450002797, sync, writeFile, 818, 4, 1
47.7955240001902, sync, copy, 62, 4, 1
44.002675000112504, sync, write, 78, 4, 1
92.3064060001634, sync, copy, 132, 4, 1
3170.3802129998803, sync, writeFile, 5106, 4, 1
504.6660919999704, sync, copy, 578, 4, 1
1151.8397429999895, sync, copy, 1783, 4, 1
9377.664475999773, sync, writeFile, 13860, 4, 1
1708.554909999948, sync, writeFile, 3018, 4, 1
16.212815000209957, sync, copy, 16, 4, 1
184.9878589999862, sync, write, 301, 4, 1
104.0322829997167, sync, copy, 90, 4, 1
70.70304000005126, sync, copy, 101, 4, 1
4526.909607999958, sync, write, 5881, 4, 1
23.339430999942124, sync, writeFile, 26, 4, 1
33.07166900020093, sync, writeFile, 27, 4, 1
213.8038340001367, sync, write, 339, 4, 1
1051.4502179999836, sync, writeFile, 1668, 4, 1
6253.949598000385, sync, writeFile, 10182, 4, 1
1883.1402040002868, sync, write, 3162, 4, 1
1554.5453109997325, sync, writeFile, 2505, 4, 1
264.7814589999616, sync, copy, 280, 4, 1
3727.0505949999206, sync, writeFile, 5967, 4, 1
4216.848216000013, sync, writeFile, 7271, 4, 1
24007.325019999873, sync, write, 37990, 4, 1
42601.15541399969, sync, writeFile, 64386, 4, 1
14.800094000063837, sync, writeFile, 79, 4, 1
35769.51556199975, sync, writeFile, 55441, 4, 1
38334.012161000166, sync, write, 65510, 4, 1
41.247849999926984, sync, copy, 79, 4, 1
40753.56153700035, sync, copy, 71371, 4, 1
15.495807999745011, sync, write, 19, 4, 1
17109.530300000217, sync, writeFile, 32543, 4, 1
737.0708469999954, sync, copy, 1448, 4, 1
19.894254999700934, sync, writeFile, 29, 4, 1
13.925778000149876, sync, copy, 20, 4, 1
79.08301299996674, sync, copy, 148, 4, 1
72.86213400028646, sync, write, 181, 4, 1
49.03462900035083, sync, write, 78, 4, 1
10434.521362000145, sync, write, 19991, 4, 1
4983.027761000209, sync, writeFile, 7719, 4, 1
5372.982108999975, sync, write, 11127, 4, 1
2717.3824539999478, sync, copy, 5016, 4, 1
213.8152129999362, sync, writeFile, 433, 4, 1
13.225773999933153, sync, writeFile, 40, 4, 1
196.39258400024846, sync, copy, 468, 4, 1
10879.77536700014, sync, copy, 21076, 4, 1
2225.878463000059, sync, writeFile, 4147, 4, 1
13.575802000239491, sync, writeFile, 54, 4, 1
2673.7319150003605, sync, copy, 5274, 4, 1
36.334739999845624, sync, copy, 120, 4, 1
3438.0627959999256, sync, writeFile, 7476, 4, 1
28196.859511000104, sync, copy, 55649, 4, 1
110.37757699983194, sync, writeFile, 206, 4, 1
43.55948300007731, sync, writeFile, 145, 4, 1
0.3841049997135997, sync, write, 11, 4, 1
14.177689000032842, sync, writeFile, 33, 4, 1
8.829917999915779, sync, write, 37, 4, 1
6525.828795999754, sync, copy, 12807, 4, 1
0.39650500006973743, sync, write, 10, 4, 1
812.1052510002628, sync, writeFile, 1820, 4, 1
104.07182900002226, sync, writeFile, 223, 4, 1
705.2068829997443, sync, copy, 1686, 4, 1
178.54405200015754, sync, write, 444, 4, 1
38.84743300033733, sync, write, 44, 4, 1
1408.649941999931, sync, write, 1785, 4, 1
1204.9833209998906, sync, copy, 2711, 4, 1
3468.414087999612, sync, writeFile, 7690, 4, 1
3012.469242000021, sync, write, 7514, 4, 1
658.5457470002584, sync, write, 1616, 4, 1
2995.747747000307, sync, copy, 5758, 4, 1
10.250937000382692, sync, write, 26, 4, 1
254.8795909998007, sync, write, 631, 4, 1
19266.47780899983, sync, writeFile, 44188, 4, 1
65.48047299962491, sync, writeFile, 205, 4, 1
22806.067367999814, sync, write, 53011, 4, 1
0.47350599989295006, sync, writeFile, 10, 4, 1
2532.2834560000338, sync, writeFile, 6396, 4, 1
42.74367000022903, sync, write, 110, 4, 1
16.687723000068218, sync, write, 35, 4, 1
2.55393399996683, sync, write, 14, 4, 1
1496.8589869998395, sync, writeFile, 3485, 4, 1
18493.347969000228, sync, write, 43650, 4, 1
1007.3658150001429, sync, copy, 2271, 4, 1
101.98445800039917, sync, writeFile, 241, 4, 1
778.7225700002164, sync, copy, 1130, 4, 1
2476.780681000091, sync, copy, 6177, 4, 1
3590.406808000058, sync, write, 8702, 4, 1
38437.63122700015, sync, write, 87138, 4, 1
29.783096000086516, sync, write, 104, 4, 1
108.08063500002027, sync, writeFile, 276, 4, 1
29798.300330999773, sync, write, 77904, 4, 1
82.7379530002363, sync, copy, 194, 4, 1
1.579619999974966, sync, copy, 19, 4, 1
5304.852271999698, sync, writeFile, 13494, 4, 1
897.56380299991, sync, copy, 1540, 4, 1
650.7693159999326, sync, write, 1231, 4, 1
249.59040499990806, sync, writeFile, 632, 4, 1
220.6020200001076, sync, copy, 559, 4, 1
20.11956699984148, sync, writeFile, 24, 4, 1
71.43954600021243, sync, copy, 227, 4, 1
124.478548000101, sync, writeFile, 397, 4, 1
1154.336183000356, sync, writeFile, 3034, 4, 1
21.42438399977982, sync, write, 63, 4, 1
1415.9642479997128, sync, copy, 3869, 4, 1
4229.033962999936, sync, writeFile, 12175, 4, 1
